CATH FunFam ID,CATH Family,Functional Family
3.40.50.2300.FF151351,3.40.50.2300,FF151351
1.20.1250.20.FF87391,1.20.1250.20,FF87391
2.40.10.10.FF21201,2.40.10.10,FF21201
1.10.400.10.FF299,1.10.400.10,FF299
1.20.58.60.FF10165,1.20.58.60,FF10165
2.10.25.10.FF45321,2.10.25.10,FF45321
3.30.360.10.FF10758,3.30.360.10,FF10758
1.10.287.630.FF1250,1.10.287.630,FF1250
3.90.1670.10.FF256,3.90.1670.10,FF256
2.60.40.10.FF47489,2.60.40.10,FF47489
2.60.120.260.FF22453,2.60.120.260,FF22453
3.40.50.720.FF287611,3.40.50.720,FF287611
3.40.50.300.FF295451,3.40.50.300,FF295451
2.60.40.10.FF60845,2.60.40.10,FF60845
2.60.40.10.FF3207,2.60.40.10,FF3207
2.60.40.60.FF17951,2.60.40.60,FF17951
1.20.58.60.FF7133,1.20.58.60,FF7133
3.30.890.10.FF346,3.30.890.10,FF346
3.10.280.10.FF224,3.10.280.10,FF224
3.60.15.10.FF29223,3.60.15.10,FF29223
3.40.190.10.FF84022,3.40.190.10,FF84022
3.30.40.10.FF39898,3.30.40.10,FF39898
3.40.50.2000.FF96568,3.40.50.2000,FF96568
2.40.50.40.FF6600,2.40.50.40,FF6600
1.10.600.10.FF9689,1.10.600.10,FF9689
3.30.420.40.FF56116,3.30.420.40,FF56116
3.90.20.10.FF3384,3.90.20.10,FF3384
2.60.40.10.FF24147,2.60.40.10,FF24147
2.60.120.200.FF16745,2.60.120.200,FF16745
3.30.565.10.FF49012,3.30.565.10,FF49012
3.30.40.10.FF44310,3.30.40.10,FF44310
3.30.70.330.FF34260,3.30.70.330,FF34260
3.30.2090.10.FF12512,3.30.2090.10,FF12512
3.80.10.10.FF92760,3.80.10.10,FF92760
1.25.10.10.FF50859,1.25.10.10,FF50859
2.10.110.10.FF915,2.10.110.10,FF915
2.160.10.10.FF23698,2.160.10.10,FF23698
3.30.559.10.FF22336,3.30.559.10,FF22336
3.40.50.980.FF70647,3.40.50.980,FF70647
3.30.1370.10.FF2411,3.30.1370.10,FF2411
3.10.330.20.FF569,3.10.330.20,FF569
3.40.50.150.FF124032,3.40.50.150,FF124032
2.160.10.10.FF48075,2.160.10.10,FF48075
3.30.300.30.FF3692,3.30.300.30,FF3692
3.30.40.10.FF50917,3.30.40.10,FF50917
3.30.1490.30.FF271,3.30.1490.30,FF271
3.40.228.10.FF2625,3.40.228.10,FF2625
3.20.20.80.FF53232,3.20.20.80,FF53232
3.30.230.70.FF4411,3.30.230.70,FF4411
3.90.180.10.FF29135,3.90.180.10,FF29135
2.10.25.10.FF44469,2.10.25.10,FF44469
3.90.210.10.FF128,3.90.210.10,FF128
1.10.3110.10.FF466,1.10.3110.10,FF466
1.10.490.10.FF4688,1.10.490.10,FF4688
1.10.555.10.FF951,1.10.555.10,FF951
3.30.70.250.FF1551,3.30.70.250,FF1551
2.10.70.10.FF17128,2.10.70.10,FF17128
1.10.510.10.FF78504,1.10.510.10,FF78504
1.20.1110.10.FF14506,1.20.1110.10,FF14506
4.10.400.10.FF1508,4.10.400.10,FF1508
3.40.640.10.FF63391,3.40.640.10,FF63391
1.20.5.340.FF2659,1.20.5.340,FF2659
1.10.3720.10.FF45755,1.10.3720.10,FF45755
3.40.50.410.FF19817,3.40.50.410,FF19817
2.30.39.10.FF1885,2.30.39.10,FF1885
3.30.40.10.FF4940,3.30.40.10,FF4940
1.10.1450.10.FF1022,1.10.1450.10,FF1022
3.90.1340.10.FF1971,3.90.1340.10,FF1971
2.30.33.40.FF937,2.30.33.40,FF937
2.30.40.10.FF31756,2.30.40.10,FF31756
1.10.238.20.FF13,1.10.238.20,FF13
